0,1,2,3,4,5,6
188,哲学,嵇康自然美学思想中的性情论研究,青年基金项目,25YJC720017,周世露,江苏城市职业学院
189,哲学,中国传统审美意识在近代日本哲学界的阐释与影响研究,青年基金项目,25YJC720002,Takaharu Oda,江苏大学
190,哲学,社会正义论域中的集体责任问题研究,规划基金项目,25YJA720001,陈肖生,南京大学
191,哲学,地球工程的政治生态学研究,规划基金项目,25YJA720013,肖雷波,南京信息工程大学
192,哲学,生成式人工智能时代人的认知异化与解放研究,规划基金项目,25YJA720009,田芳,山东大学
193,哲学,人类整体的使命：康德的世界主义政治哲学研究,青年基金项目,25YJC720015,赵陆,山东女子学院
194,哲学,《资本论》隐喻语言的哲学研究,青年基金项目,25YJC720007,覃万历,陕西师范大学
195,哲学,生成式人工智能背景下的欲望异化及其消解策略研究,规划基金项目,25YJA720006,骆婷,太原科技大学
196,哲学,《明儒学案》的东亚接受史与诠释范式转型研究,规划基金项目,25YJA720005,连凡,武汉大学
197,哲学,宋元文人画的心性美学研究,青年基金项目,25YJC720005,裴瑞欣,武汉理工大学
